id,age,birth_year,generation,word_count,exclam_count,exclam_per_100k
usr_0ad3cadb21,32,1993,Millennial,1307,23,1759.755
usr_b7dffef9dd,39,1986,Millennial,1127,2,177.462
usr_e2c15ff14e,27,1998,Gen Z,502,2,398.406
usr_1b22b88b8c,27,1998,Gen Z,461,5,1084.599
usr_ec181fb208,28,1997,Gen Z,1019,3,294.406
usr_8e01aabd7b,35,1990,Millennial,1157,2,172.861
usr_3861e7bb44,37,1988,Millennial,963,16,1661.475
usr_2a6d2a2d9e,47,1978,Gen X,641,8,1248.05
usr_0ddd44ddab,44,1981,Millennial,561,0,0.0
usr_f31f1ef82d,34,1991,Millennial,523,4,764.818
usr_b0cbb72cba,48,1977,Gen X,1030,6,582.524
usr_f8264ce8ea,42,1983,Millennial,271,1,369.004
usr_388e4d83da,33,1992,Millennial,377,1,265.252
usr_f753263e7c,35,1990,Millennial,1202,0,0.0
usr_75f2661435,30,1995,Millennial,4710,19,403.397
usr_ad51f6fcde,32,1993,Millennial,1206,4,331.675
usr_62a591d357,30,1995,Millennial,685,3,437.956
usr_a5a2e6db18,31,1994,Millennial,811,1,123.305
usr_043cba3ae0,38,1987,Millennial,1572,10,636.132
usr_7bae480261,34,1991,Millennial,1046,4,382.409
usr_a554d0a027,30,1995,Millennial,1258,22,1748.808
usr_c171b85fd5,35,1990,Millennial,3115,3,96.308
usr_0cf7f3e282,41,1984,Millennial,249,0,0.0
usr_5048f38377,38,1987,Millennial,1054,1,94.877
usr_087fbc195a,38,1987,Millennial,1621,4,246.761
usr_338869b614,37,1988,Millennial,216,0,0.0
usr_7c05cf7f82,23,2002,Gen Z,708,10,1412.429
usr_dab34ae3eb,32,1993,Millennial,1853,21,1133.297
usr_91520afa39,31,1994,Millennial,2314,5,216.076
usr_472fe7a708,35,1990,Millennial,1020,2,196.078
usr_eeb1bca3df,26,1999,Gen Z,728,0,0.0
usr_720699db56,31,1994,Millennial,358,1,279.33
usr_48faf2fb83,28,1997,Gen Z,769,3,390.117
usr_5404818004,49,1976,Gen X,240,1,416.667
usr_e6786b8495,31,1994,Millennial,511,2,391.389
usr_f93929ccfe,35,1990,Millennial,1368,6,438.596
usr_83dfcfab4f,45,1980,Gen X,448,1,223.214
usr_2a41c33405,42,1983,Millennial,613,10,1631.321
usr_e85937d6f1,33,1992,Millennial,433,2,461.894
usr_6d33a4613e,36,1989,Millennial,534,3,561.798
usr_73fb709f6f,33,1992,Millennial,359,5,1392.758
usr_e77eb2eb7d,22,2003,Gen Z,1436,10,696.379
usr_8b8fa88e38,30,1995,Millennial,4353,25,574.317
usr_afcc6e0593,31,1994,Millennial,944,5,529.661
usr_f6f09aa842,28,1997,Gen Z,2081,0,0.0
usr_eca6230bc7,23,2002,Gen Z,971,2,205.973
usr_455248a8c2,31,1994,Millennial,1890,1,52.91
usr_cb1f4df9ab,40,1985,Millennial,473,0,0.0
usr_9114a08dc7,40,1985,Millennial,1821,20,1098.298
usr_ff0b88a130,40,1985,Millennial,1742,5,287.026
usr_8cff506150,44,1981,Millennial,231,0,0.0
usr_9125241386,24,2001,Gen Z,1125,3,266.667
usr_edae9f254b,36,1989,Millennial,566,1,176.678
usr_3386c9dc77,44,1981,Millennial,231,0,0.0
usr_210314bef7,41,1984,Millennial,2705,3,110.906
usr_6c237e0590,38,1987,Millennial,548,0,0.0
usr_c4f7451f7e,32,1993,Millennial,430,0,0.0
usr_0ea1d233e4,25,2000,Gen Z,758,2,263.852
usr_a4ecbea0a1,31,1994,Millennial,956,6,627.615
usr_7a86b09354,32,1993,Millennial,102,0,0.0
usr_145d4094eb,49,1976,Gen X,240,1,416.667
usr_4cabf006ea,46,1979,Gen X,359,0,0.0
usr_002801e2b5,28,1997,Gen Z,379,2,527.704
usr_92a91ee01b,41,1984,Millennial,667,3,449.775
usr_096c1fc308,40,1985,Millennial,136,4,2941.176
usr_8f91ad41be,18,2007,Gen Z,223,2,896.861
usr_772c480194,40,1985,Millennial,295,0,0.0
usr_a3452c4d95,32,1993,Millennial,572,0,0.0
usr_a316ad1ed3,23,2002,Gen Z,286,2,699.301
usr_f6e0013eab,31,1994,Millennial,687,7,1018.923
usr_c0b3a89595,33,1992,Millennial,368,1,271.739
usr_527d3d9c91,34,1991,Millennial,579,0,0.0
usr_66fbc11cf7,37,1988,Millennial,720,4,555.556
usr_c77d61e581,39,1986,Millennial,384,0,0.0
usr_9c7bd4050f,22,2003,Gen Z,585,4,683.761
usr_5675b58976,38,1987,Millennial,609,0,0.0
usr_a685339a27,33,1992,Millennial,643,5,777.605
usr_169fe68959,22,2003,Gen Z,2285,8,350.109
usr_3471ae2b14,33,1992,Millennial,314,3,955.414
usr_076c084131,32,1993,Millennial,780,9,1153.846
usr_75f07f3e1a,27,1998,Gen Z,1410,4,283.688
usr_6220c53bd4,27,1998,Gen Z,989,14,1415.571
usr_df563a8c21,34,1991,Millennial,135,0,0.0
usr_8d798f2ac8,64,1961,Boomer,117,0,0.0
usr_36af460751,24,2001,Gen Z,497,9,1810.865
usr_870452fa93,32,1993,Millennial,359,5,1392.758
usr_ca9dfe4c14,22,2003,Gen Z,891,2,224.467
usr_bacc2418a5,32,1993,Millennial,107,0,0.0
usr_ba9d8d1b92,24,2001,Gen Z,142,0,0.0
usr_8ab426951e,35,1990,Millennial,2033,14,688.637
usr_52bf981f18,34,1991,Millennial,3850,12,311.688
usr_80c22d2507,31,1994,Millennial,821,4,487.211
usr_df98b38087,36,1989,Millennial,310,10,3225.806
usr_b1185a9599,26,1999,Gen Z,1832,5,272.926
usr_f40be05c5f,32,1993,Millennial,707,0,0.0
usr_321cbee0ad,37,1988,Millennial,1024,3,292.969
usr_90a20138cd,36,1989,Millennial,794,13,1637.28
usr_3b7ae0f59b,43,1982,Millennial,159,0,0.0
usr_2cf51205d0,25,2000,Gen Z,435,2,459.77
usr_564edb5079,30,1995,Millennial,861,3,348.432
usr_c4a83cbbdf,31,1994,Millennial,2507,4,159.553
usr_657eb75a0a,27,1998,Gen Z,1067,6,562.324
usr_6604a51053,24,2001,Gen Z,785,7,891.72
usr_370e9dbeca,24,2001,Gen Z,746,0,0.0
usr_f524dc772d,40,1985,Millennial,293,0,0.0
usr_655f1ed2c4,42,1983,Millennial,358,2,558.659
usr_60221ab882,31,1994,Millennial,1125,7,622.222
usr_5d19c07e30,25,2000,Gen Z,234,0,0.0
usr_4fc014d179,29,1996,Millennial,605,8,1322.314
usr_da31a54b44,31,1994,Millennial,305,1,327.869
usr_91f5407cf3,24,2001,Gen Z,168,0,0.0
usr_91a4ee8192,25,2000,Gen Z,928,16,1724.138
usr_77683bbfb9,33,1992,Millennial,401,0,0.0
usr_2d35fdfcae,39,1986,Millennial,1040,7,673.077
usr_b4914ffd72,32,1993,Millennial,1358,2,147.275
usr_e095117d98,37,1988,Millennial,280,0,0.0
usr_e10455e54d,44,1981,Millennial,1619,13,802.965
usr_b388085011,38,1987,Millennial,512,4,781.25
usr_174539e3d3,24,2001,Gen Z,1141,10,876.424
usr_2d1d90850d,28,1997,Gen Z,545,4,733.945
usr_1c94368b35,28,1997,Gen Z,292,3,1027.397
usr_b59b3aa4ec,56,1969,Gen X,143,0,0.0
usr_aef0bc1982,31,1994,Millennial,333,0,0.0
usr_51bb038ab9,39,1986,Millennial,1797,15,834.725
usr_bc27cf28c9,26,1999,Gen Z,398,3,753.769
usr_dfe670cf74,32,1993,Millennial,422,5,1184.834
usr_aca50c1241,35,1990,Millennial,535,3,560.748
usr_72ee7b01b7,50,1975,Gen X,657,0,0.0
usr_340e6cc34d,70,1955,Boomer,113,0,0.0
usr_30ff43ad3f,59,1966,Gen X,934,10,1070.664
usr_c2d0e67189,28,1997,Gen Z,205,2,975.61
usr_d9c2875f2b,39,1986,Millennial,1157,2,172.861
usr_d78fe9d889,27,1998,Gen Z,806,2,248.139
usr_d97a99c3b7,35,1990,Millennial,135,3,2222.222
usr_58fe5bb1ed,62,1963,Boomer,1000,0,0.0
usr_e180f374be,39,1986,Millennial,751,6,798.935
usr_298b38ef40,28,1997,Gen Z,178,1,561.798
usr_4b7db33b94,36,1989,Millennial,144,1,694.444
usr_8e94444f6f,24,2001,Gen Z,1478,14,947.226
usr_bc41567741,33,1992,Millennial,507,1,197.239
usr_bac751c66d,46,1979,Gen X,130,1,769.231
usr_fd38a10137,35,1990,Millennial,192,4,2083.333
usr_ad60c5f6a0,33,1992,Millennial,2299,15,652.458
usr_b25bc47508,26,1999,Gen Z,293,4,1365.188
usr_8bec96c14b,28,1997,Gen Z,2932,43,1466.576
usr_d8d708ea6b,31,1994,Millennial,109,1,917.431
usr_7a0143fed6,30,1995,Millennial,1000,1,100.0
usr_65721f6fe3,25,2000,Gen Z,476,0,0.0
usr_80304fd0b5,24,2001,Gen Z,785,7,891.72
usr_d76a063805,27,1998,Gen Z,489,6,1226.994
usr_33e12a81c2,24,2001,Gen Z,499,3,601.202
usr_95a9b10018,22,2003,Gen Z,429,3,699.301
usr_9c3df10c8e,31,1994,Millennial,708,1,141.243
usr_4ca3dd5a11,29,1996,Millennial,2640,1,37.879
usr_3da85ea3ec,34,1991,Millennial,8401,11,130.937
usr_5d087ea782,29,1996,Millennial,2398,1,41.701
usr_028ffb91eb,29,1996,Millennial,2655,11,414.313
usr_88c85ecc38,29,1996,Millennial,1301,4,307.456
usr_66a6bdc77b,29,1996,Millennial,1077,1,92.851
usr_ab89eb0bb3,32,1993,Millennial,1674,0,0.0
usr_c5a8d4db9f,29,1996,Millennial,840,0,0.0
usr_7fd82cd0b4,43,1982,Millennial,489,2,408.998
usr_81ad59323d,38,1987,Millennial,892,3,336.323
usr_107b467dd6,34,1991,Millennial,535,2,373.832
usr_a3164c38df,32,1993,Millennial,1309,10,763.942
usr_98a3a766b8,33,1992,Millennial,159,0,0.0
usr_dc0f7360e9,29,1996,Millennial,924,3,324.675
usr_6c464a7f53,35,1990,Millennial,568,6,1056.338
usr_e8711d37b3,31,1994,Millennial,1746,2,114.548
usr_225ba0249f,32,1993,Millennial,107,0,0.0
usr_5279084c35,30,1995,Millennial,2074,7,337.512
usr_58c9686525,30,1995,Millennial,1279,4,312.744
usr_781710d5f3,29,1996,Millennial,3116,3,96.277
usr_adef7c72b1,34,1991,Millennial,195,0,0.0
usr_687f8c5cbf,34,1991,Millennial,241,0,0.0
usr_75045befd8,24,2001,Gen Z,661,2,302.572
usr_f12e7c6cb0,27,1998,Gen Z,194,0,0.0
usr_466c43842b,38,1987,Millennial,223,0,0.0
usr_48e483544a,35,1990,Millennial,7524,0,0.0
usr_448a88249a,39,1986,Millennial,596,22,3691.275

