id,gender,word_count,exclam_count,exclam_per_100k
usr_2cf51205d0,Male,435,2,459.77
usr_564edb5079,Male,861,3,348.432
usr_c4a83cbbdf,Male,2507,4,159.553
usr_657eb75a0a,Male,1067,6,562.324
usr_6604a51053,Male,785,7,891.72
usr_370e9dbeca,Female,746,0,0.0
usr_f524dc772d,Male,293,0,0.0
usr_655f1ed2c4,Female,358,2,558.659
usr_60221ab882,Female,1125,7,622.222
usr_5d19c07e30,Male,234,0,0.0
usr_4fc014d179,Male,605,8,1322.314
usr_da31a54b44,Male,305,1,327.869
usr_91f5407cf3,Female,168,0,0.0
usr_91a4ee8192,Male,928,16,1724.138
usr_77683bbfb9,Male,401,0,0.0
usr_2d35fdfcae,Male,1040,7,673.077
usr_b4914ffd72,Male,1358,2,147.275
usr_e095117d98,Male,280,0,0.0
usr_e10455e54d,Male,1619,13,802.965
usr_b388085011,Male,512,4,781.25
usr_174539e3d3,Male,1141,10,876.424
usr_2d1d90850d,Male,545,4,733.945
usr_1c94368b35,Female,292,3,1027.397
usr_b59b3aa4ec,Male,143,0,0.0
usr_aef0bc1982,Male,333,0,0.0
usr_51bb038ab9,Female,1797,15,834.725
usr_bc27cf28c9,Male,398,3,753.769
usr_dfe670cf74,Male,422,5,1184.834
usr_72ee7b01b7,Female,657,0,0.0
usr_340e6cc34d,Male,113,0,0.0
usr_30ff43ad3f,Female,934,10,1070.664
usr_c2d0e67189,Male,205,2,975.61
usr_d9c2875f2b,Male,1157,2,172.861
usr_d78fe9d889,Male,806,2,248.139
usr_d97a99c3b7,Male,135,3,2222.222
usr_58fe5bb1ed,Male,1000,0,0.0
usr_e180f374be,Female,751,6,798.935
usr_298b38ef40,Male,178,1,561.798
usr_4b7db33b94,Female,144,1,694.444
usr_8e94444f6f,Female,1478,14,947.226
usr_bac751c66d,Male,130,1,769.231
usr_fd38a10137,Male,192,4,2083.333
usr_ad60c5f6a0,Female,2299,15,652.458
usr_b25bc47508,Male,293,4,1365.188
usr_8bec96c14b,Male,2932,43,1466.576
usr_d8d708ea6b,Male,109,1,917.431
usr_7a0143fed6,Female,1000,1,100.0
usr_65721f6fe3,Male,476,0,0.0
usr_80304fd0b5,Male,785,7,891.72
usr_d76a063805,Male,489,6,1226.994
usr_33e12a81c2,Female,499,3,601.202
usr_95a9b10018,Male,429,3,699.301
usr_9c3df10c8e,Female,708,1,141.243
usr_4ca3dd5a11,Male,2640,1,37.879
usr_3da85ea3ec,Male,8401,11,130.937
usr_5d087ea782,Male,2398,1,41.701
usr_88c85ecc38,Male,1301,4,307.456
usr_66a6bdc77b,Male,1077,1,92.851
usr_ab89eb0bb3,Male,1674,0,0.0
usr_c5a8d4db9f,Male,840,0,0.0
usr_7fd82cd0b4,Male,489,2,408.998
usr_81ad59323d,Male,892,3,336.323
usr_107b467dd6,Female,535,2,373.832
usr_a3164c38df,Female,1309,10,763.942
usr_98a3a766b8,Male,159,0,0.0
usr_dc0f7360e9,Male,924,3,324.675
usr_6c464a7f53,Male,568,6,1056.338
usr_e8711d37b3,Male,1746,2,114.548
usr_225ba0249f,Female,107,0,0.0
usr_5279084c35,Male,2074,7,337.512
usr_58c9686525,Male,1279,4,312.744
usr_adef7c72b1,Male,195,0,0.0
usr_687f8c5cbf,Male,241,0,0.0
usr_75045befd8,Female,661,2,302.572
usr_f12e7c6cb0,Male,194,0,0.0
usr_48e483544a,Male,7524,0,0.0
usr_448a88249a,Male,596,22,3691.275
