id,interest_group,word_count,sentence_count,complex_sentence_count,percent_complex_sentences,avg_sentence_len
usr_107b467dd6,Looking for Men,535,11,2,18.182,48.636
usr_a3164c38df,Looking for Men,1309,80,25,31.25,16.363
usr_98a3a766b8,Looking for Women,159,4,1,25.0,39.75
usr_dc0f7360e9,Looking for Women,924,47,15,31.915,19.66
usr_6c464a7f53,Looking for Women,568,25,13,52.0,22.72
usr_e8711d37b3,Looking for Both,1746,116,29,25.0,15.052
usr_5279084c35,Looking for Both,2074,165,30,18.182,12.57
usr_58c9686525,Looking for Women,1279,79,24,30.38,16.19
usr_781710d5f3,Looking for Both,3116,191,67,35.079,16.314
usr_adef7c72b1,Looking for Women,195,14,2,14.286,13.929
usr_687f8c5cbf,Looking for Women,241,13,4,30.769,18.538
usr_75045befd8,Looking for Men,661,39,9,23.077,16.949
usr_f12e7c6cb0,Looking for Both,194,3,3,100.0,64.667
usr_466c43842b,Looking for Men,223,11,4,36.364,20.273
usr_48e483544a,Looking for Women,7524,320,178,55.625,23.512
usr_448a88249a,Looking for Women,596,54,6,11.111,11.037
