id,source_gender,target_gender,word_count,complex_pct,interestedIn_raw
usr_62111231bc,F,F,1592,17.776,"['F', 'M']"
usr_62111231bc,F,M,1592,17.776,"['F', 'M']"
usr_18c02c17a2,M,F,906,9.934,['F']
usr_1c58a6a0e7,F,M,1224,14.461,['M']
usr_f2fa5eadbf,M,F,839,13.826,['F']
usr_aea53a8142,F,M,2030,14.039,['M']
usr_957f29464f,F,M,335,10.746,['M']
usr_9256c466fb,M,F,566,20.318,['F']
usr_f79f5f2b1b,M,F,2080,12.548,['F']
usr_f98cae6f00,F,M,1336,25.449,"['M', 'NB']"
usr_f98cae6f00,F,NB,1336,25.449,"['M', 'NB']"
usr_77c62063c9,M,F,1000,12.2,['F']
usr_5bd7339095,M,F,1512,13.228,['F']
usr_323f919897,F,M,568,21.479,"['M', 'NB']"
usr_323f919897,F,NB,568,21.479,"['M', 'NB']"
usr_44b02483f3,F,M,1157,15.644,['M']
usr_9368a27fa1,M,F,1385,23.466,['F']
usr_15f3bdcf80,F,M,369,20.325,"['M', 'NB']"
usr_15f3bdcf80,F,NB,369,20.325,"['M', 'NB']"
usr_69c6656a7e,M,F,645,9.922,['F']
usr_5d1b9d55a6,M,F,384,10.938,['F']
usr_db2dae94d0,M,F,1040,13.846,['F']
usr_3647e23669,M,F,2850,13.754,['F']
usr_6dc2e0bdb6,M,F,853,20.516,['F']
usr_a4dd2a5faa,M,F,568,18.486,['F']
usr_ca7ce7ccf9,F,M,892,16.592,['M']
usr_1a3dd3479b,M,F,396,17.172,['F']
usr_a6812c96de,F,M,817,14.688,['M']
usr_8734675044,F,M,535,15.327,"['M', 'NB']"
usr_8734675044,F,NB,535,15.327,"['M', 'NB']"
usr_a7a9bad78b,M,F,762,18.373,['F']
usr_78ece4944a,M,F,326,6.442,['F']
usr_3089c6389f,M,F,1144,12.15,['F']
usr_7b6463a41f,F,M,369,13.279,['M']
usr_41855fc328,F,M,2686,23.641,['M']
usr_e4e1b0b7c4,M,F,1159,23.727,"['F', 'M', 'NB']"
usr_e4e1b0b7c4,M,M,1159,23.727,"['F', 'M', 'NB']"
usr_e4e1b0b7c4,M,NB,1159,23.727,"['F', 'M', 'NB']"
usr_2baef7757a,M,F,853,12.544,['F']
usr_29f94af17f,M,F,748,18.048,['F']
usr_bc8943c1f6,M,F,119,21.849,['F']
usr_07f65c8d00,M,F,368,10.326,['F']
usr_9ea93eae4d,M,F,339,17.404,['F']
usr_05416c339c,M,F,886,13.77,['F']
usr_2d2e80e632,F,M,788,11.421,['M']
usr_b249276aff,F,M,1877,10.762,['M']
usr_28c25b686b,M,F,323,14.241,['F']
usr_af082a73b0,M,F,476,12.395,['F']
usr_de9267b485,M,F,1361,13.666,['F']
usr_fc017d82c9,F,F,178,20.787,"['F', 'M', 'NB']"
usr_fc017d82c9,F,M,178,20.787,"['F', 'M', 'NB']"
usr_fc017d82c9,F,NB,178,20.787,"['F', 'M', 'NB']"
usr_7abe6d26c5,M,F,1686,15.718,['F']
usr_55a09b3eb6,M,F,434,14.977,['F']
usr_5c454914d9,M,F,571,14.186,"['F', 'NB']"
usr_5c454914d9,M,NB,571,14.186,"['F', 'NB']"
usr_bea9a0b648,M,F,924,10.498,['F']
usr_1a96b561a7,M,F,392,16.582,['F']
