group,n,min,q1,median,q3,max
Looking for Men,90,5.161,10.75,13.286,15.644,25.449
Looking for Women,200,6.442,11.327,13.435,15.952,56.41
Looking for Both,29,7.767,11.331,13.532,17.694,23.727
